attack,r10,r12,r42,r48,r72
0,0.0019078465661285598,0.15019213862940076,0.0036205061449027516,0.0002575903819211443,0.26894657717442216
0,0.0019552798129344835,0.15144747095152122,0.0037151503803395133,0.00025180376309263453,0.27330381538088283
0,0.0021503197407580113,0.15523629192101307,0.003729418514824839,0.000260323775982253,0.27344600827719145
0,0.002005027233464311,0.15610731552889548,0.003669199109906366,0.0002600484157452728,0.2760455449656599
0,0.0019957985205613592,0.14917553833704905,0.003442038029735364,0.0003171778868165829,0.2626415933784631
0,0.001931966516361927,0.1521893195539664,0.00404754248625719,0.0002136848883029185,0.2847523685338269
0,0.001887756122562987,0.14618657495749507,0.0032541987474563492,0.0003329824799772206,0.25721216267200925
0,0.0019334570910119378,0.1543373056397249,0.004406884125785271,0.0001938292875545154,0.2924858814882579
0,0.0018755763491464963,0.1461632950221472,0.003247266051454263,0.0003470668903136957,0.25742130710944783
0,0.0020832747327227527,0.15781160549638093,0.0038723823182392884,0.00023098979096536368,0.28140808559787456
0,0.0018762976219498105,0.14537380822656754,0.003272716785791732,0.0003437913601076776,0.25635487401738205
0,0.002102238731536566,0.15907970081508666,0.004097045968092133,0.00019894149745740204,0.2913720737097447
0,0.0018600486471879645,0.14629345802079408,0.0031741231889387826,0.0003488911312714181,0.2575285411574611
0,0.0020466728601307212,0.15793644860784806,0.003800375503407945,0.00022450044157644274,0.2785153169997895
0,0.00165387155595534,0.14005278315070496,0.0035043655318120833,0.0002927685147429287,0.26500949672699275
0,0.0021386129827551505,0.15625970740825793,0.003812124679878419,0.00025602335270611326,0.276522782626091
0,0.001596088662364967,0.14706024807547977,0.003905414002923398,0.0002526244708264499,0.2842711636081333
0,0.0021669579058839123,0.15385944977305727,0.0036854146242652217,0.0002750004901521602,0.270727019317998
0,0.001984100489279909,0.1554511579249122,0.0037853848255980133,0.0002455733557959645,0.277184324114898
0,0.0019670149978064542,0.14881216606329717,0.0033594170336179803,0.00032419651294562143,0.2619686871853442
0,0.0020491713355338345,0.15878339059358082,0.0037248102105232215,0.00020022208659512347,0.29066330647425676
